Performance Statistics   2020-07-22 09:44:00 - 2020-07-22 09:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
sec$Role.edit.entitiesTabFrame#init                     54,0          54          54         0,0           1
sec$Role.edit.entitiesTabFrame#inject                    9,0           9           9         0,0           1
sec$Role.edit.entitiesTabFrame#load                     59,0          59          59         0,0           1
sec$Role.edit.entitiesTabFrame@entityPermissionsDs        25,0          25          25         0,0           1
sec$Role.edit.screensTabFrame@screenPermissionsDs        13,3          13          14         0,5           3
sec$Role.edit.screensTabFrame@screenPermissionsTreeDs         2,0           2           2         0,0           3

Performance Statistics   2020-07-22 09:52:00 - 2020-07-22 09:54:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 09:54:00 - 2020-07-22 09:56:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.sec$User.browse                               403,0         403         403         0,0           1
editWindowActions#create                                 5,0           5           5         0,0           1
editWindowActions#xml                                    0,5           0           1         0,5           2
extendedEditWindowActions#create                         5,0           5           5         0,0           1
extendedEditWindowActions#xml                            0,0           0           0         0,0           2
lookupWindowActions#create                               4,0           4           4         0,0           1
lookupWindowActions#inject                               0,0           0           0         0,0           1
lookupWindowActions#load                                 3,0           3           3         0,0           1
lookupWindowActions#xml                                  0,0           0           0         0,0           2
screensTabFrame#create                                  19,0          19          19         0,0           1
screensTabFrame#xml                                      0,0           0           0         0,0           2
sec$Role.edit#afterShow                                  0,0           0           0         0,0           1
sec$Role.edit#beforeShow                                 1,0           1           1         0,0           1
sec$Role.edit#companion                                  0,7           0           2         0,9           3
sec$Role.edit#create                                     3,0           3           3         0,0           1
sec$Role.edit#init                                       0,0           0           0         0,0           1
sec$Role.edit#inject                                     1,0           1           1         0,0           1
sec$Role.edit#load                                     166,0         166         166         0,0           1
sec$Role.edit#uiPermissions                              0,0           0           0         0,0           1
sec$Role.edit#xml                                        0,8           0           4         1,6           5
sec$Role.edit.attributesTabFrame@propertyPermissionsDs        12,5          12          13         0,5           2
sec$Role.edit.entitiesTabFrame@entityPermissionsDs        15,0          14          16         1,0           2
sec$Role.edit.screensTabFrame#init                       0,0           0           0         0,0           1
sec$Role.edit.screensTabFrame#inject                     0,0           0           0         0,0           1
sec$Role.edit.screensTabFrame#load                       3,0           3           3         0,0           1
sec$Role.edit.screensTabFrame@screenPermissionsDs        12,5          10          16         2,1           6
sec$Role.edit.screensTabFrame@screenPermissionsTreeDs         0,8           0           2         0,8           4
sec$Role.edit.specificTabFrame#init                     12,0          12          12         0,0           1
sec$Role.edit.specificTabFrame#inject                    0,0           0           0         0,0           1
sec$Role.edit.specificTabFrame#load                      2,0           2           2         0,0           1
sec$Role.edit.specificTabFrame@specificPermissionsDs        11,3          10          14         1,9           3
sec$Role.edit.specificTabFrame@specificPermissionsTreeDs         0,0           0           0         0,0           1
sec$Role.edit.uiTabFrame#init                          248,0         248         248         0,0           1
sec$Role.edit.uiTabFrame#inject                          7,0           7           7         0,0           1
sec$Role.edit.uiTabFrame#load                           30,0          30          30         0,0           1
sec$Role.edit.uiTabFrame@uiPermissionsDs                13,7          12          16         1,7           3
sec$Role.edit.windowActions#init                         0,0           0           0         0,0           1
sec$Role.edit.windowActions#inject                       0,0           0           0         0,0           1
sec$Role.edit.windowActions#load                         0,0           0           0         0,0           1
sec$User.browse#afterShow                                0,0           0           0         0,0           1
sec$User.browse#beforeShow                               0,0           0           0         0,0           1
